heure;habitat_collectif;restauration;commerces;bureaux
2391;0;5.52789264705882;1.07399057142857;5.47735191428571
2392;0;5.52789264705882;1.07399057142857;3.65156794285714
2393;200.47824;5.52789264705882;2.14798114285714;1.82578397142857
2394;467.78256;5.52789264705882;2.68497642857143;0
2395;267.30432;16.5836779411765;2.14798114285714;0
2396;133.65216;16.5836779411765;1.07399057142857;0
2397;0;44.2231411764706;0;0
2398;0;38.6952485294118;0;0
2399;0;22.1115705882353;0;0
2400;0;0;0;0
2401;0;0;0;0
2402;0;0;0;0
2403;0;0;0;0
2404;0;0;0;0
2405;0;0;0;0
2406;133.65216;0;0;1.82578397142857
2407;467.78256;0;0;1.82578397142857
2408;133.65216;0;0.536995285714286;5.47735191428571
2409;0;5.52789264705882;1.07399057142857;9.12891985714286
2410;0;5.52789264705882;1.07399057142857;7.30313588571428
2411;133.65216;11.0557852941176;1.07399057142857;3.65156794285714
2412;267.30432;27.6394632352941;1.61098585714286;1.82578397142857
2413;133.65216;44.2231411764706;1.61098585714286;3.65156794285714
2414;0;27.6394632352941;1.61098585714286;7.30313588571428
2415;0;5.52789264705882;1.07399057142857;5.47735191428571
2416;0;5.52789264705882;1.07399057142857;3.65156794285714
2417;200.47824;5.52789264705882;2.14798114285714;1.82578397142857
2418;467.78256;5.52789264705882;2.68497642857143;0
2419;267.30432;16.5836779411765;2.14798114285714;0
2420;133.65216;16.5836779411765;1.07399057142857;0
2421;0;44.2231411764706;0;0
2422;0;38.6952485294118;0;0
2423;0;22.1115705882353;0;0
2424;0;0;0;0
2425;0;0;0;0
2426;0;0;0;0
2427;0;0;0;0
2428;0;0;0;0
2429;0;0;0;0
2430;133.65216;0;0;1.82578397142857
2431;467.78256;0;0;1.82578397142857
2432;133.65216;0;0.536995285714286;5.47735191428571
2433;0;5.52789264705882;1.07399057142857;9.12891985714286
2434;0;5.52789264705882;1.07399057142857;7.30313588571428
2435;133.65216;11.0557852941176;1.07399057142857;3.65156794285714
2436;267.30432;27.6394632352941;1.61098585714286;1.82578397142857
2437;133.65216;44.2231411764706;1.61098585714286;3.65156794285714
2438;0;27.6394632352941;1.61098585714286;7.30313588571428
2439;0;5.52789264705882;1.07399057142857;5.47735191428571
2440;0;5.52789264705882;1.07399057142857;3.65156794285714
2441;200.47824;5.52789264705882;2.14798114285714;1.82578397142857
2442;467.78256;5.52789264705882;2.68497642857143;0
2443;267.30432;16.5836779411765;2.14798114285714;0
2444;133.65216;16.5836779411765;1.07399057142857;0
2445;0;44.2231411764706;0;0
2446;0;38.6952485294118;0;0
2447;0;22.1115705882353;0;0
2448;0;0;0;0
2449;0;0;0;0
2450;0;0;0;0
2451;0;0;0;0
2452;0;0;0;0
2453;0;0;0;0
2454;133.65216;0;0;1.82578397142857
2455;467.78256;0;0;1.82578397142857
2456;133.65216;0;0.536995285714286;5.47735191428571
2457;0;5.52789264705882;1.07399057142857;9.12891985714286
2458;0;5.52789264705882;1.07399057142857;7.30313588571428
2459;133.65216;11.0557852941176;1.07399057142857;3.65156794285714
2460;267.30432;27.6394632352941;1.61098585714286;1.82578397142857
2461;133.65216;44.2231411764706;1.61098585714286;3.65156794285714
2462;0;27.6394632352941;1.61098585714286;7.30313588571428
2463;0;5.52789264705882;1.07399057142857;5.47735191428571
